season,date,team1,team2,name1,name2,neutral,playoff,score1,score2,result1,cc_final,elo1_pre,elo2_pre,prob1,elo1_post,elo2_post,champ
1997,"1997-08-14","CHA","SAC","Charlotte Sting","Sacramento Monarchs",0,0,68,51,1,0,1511.7153967940965,1417.4321487659727,0.7316980733025804,1521.8284517870784,1407.3190937729908,""
1997,"1997-08-14","PHO","CLE","Phoenix Mercury","Cleveland Rockers",0,0,61,55,1,0,1522.6784459028263,1538.6996363975725,0.5910461122284657,1530.0605698047716,1531.3175124956272,""
1997,"1997-08-15","NYL","SAC","New York Liberty","Sacramento Monarchs",0,0,79,63,1,0,1509.480335772064,1407.3190937729908,0.7405068158037927,1518.7372448957872,1398.0621846492677,""
1997,"1997-08-16","CHA","HOU","Charlotte Sting","Houston Comets",0,0,80,71,1,0,1521.8284517870784,1625.3839613589807,0.4661527415991903,1536.3283413687484,1610.8840717773107,""
1997,"1997-08-16","LVA","LAS","Utah Starzz","Los Angeles Sparks",0,0,64,74,0,0,1350.6845330288322,1523.925541979655,0.36894664080257744,1340.9260761984433,1533.683998810044,""
1997,"1997-08-17","CLE","CHA","Cleveland Rockers","Charlotte Sting",0,0,81,49,1,0,1531.3175124956272,1536.3283413687484,0.6062729439018758,1558.1655285587194,1509.4803253056562,""
1997,"1997-08-17","NYL","HOU","New York Liberty","Houston Comets",0,0,55,70,0,0,1518.7372448957872,1610.8840717773107,0.4825264296577129,1499.6975750806873,1629.9237415924106,""
1997,"1997-08-17","PHO","LVA","Phoenix Mercury","Utah Starzz",0,0,71,63,1,0,1530.0605698047716,1340.9260761984433,0.824807214765748,1533.40788615325,1337.5787598499649,""
1997,"1997-08-18","LAS","PHO","Los Angeles Sparks","Phoenix Mercury",0,0,75,66,1,0,1533.683998810044,1533.40788615325,0.613513765707738,1543.1907720300876,1523.9011129332064,""
1997,"1997-08-19","HOU","CHA","Houston Comets","Charlotte Sting",0,0,77,69,1,0,1629.9237415924106,1509.4803253056562,0.7602125311401216,1634.7630979659978,1504.640968932069,""
1997,"1997-08-19","LVA","NYL","Utah Starzz","New York Liberty",0,0,81,75,1,0,1337.5787598499649,1499.6975750806873,0.3839741014656717,1350.4310028643986,1486.8453320662536,""
1997,"1997-08-20","LAS","NYL","Los Angeles Sparks","New York Liberty",0,0,78,76,1,0,1543.1907720300876,1486.8453320662536,0.6867282102137489,1545.391997218185,1484.6441068781562,""
1997,"1997-08-20","SAC","PHO","Sacramento Monarchs","Phoenix Mercury",0,0,54,69,0,0,1398.0621846492677,1523.9011129332064,0.4344125953364038,1381.462852365583,1540.500445216891,""
1997,"1997-08-21","HOU","CLE","Houston Comets","Cleveland Rockers",0,0,75,76,0,0,1634.7630979659978,1558.1655285587194,0.7112469910000103,1630.9188273141442,1562.009799210573,""
1997,"1997-08-21","LVA","CHA","Utah Starzz","Charlotte Sting",0,0,56,66,0,0,1350.4310028643986,1504.640968932069,0.3947982725894478,1339.807166843753,1515.2648049527145,""
1997,"1997-08-22","LAS","SAC","Los Angeles Sparks","Sacramento Monarchs",0,0,88,77,1,0,1545.391997218185,1381.462852365583,0.8028446175754842,1550.3488593382451,1376.505990245523,""
1997,"1997-08-22","PHO","CHA","Phoenix Mercury","Charlotte Sting",0,0,78,63,1,0,1540.500445216891,1515.2648049527145,0.6469787145219239,1553.2776895847448,1502.4875605848606,""
1997,"1997-08-23","CLE","NYL","Cleveland Rockers","New York Liberty",0,0,72,71,1,0,1562.009799210573,1484.6441068781562,0.7121542414836863,1563.1507193300886,1483.5031867586406,""
1997,"1997-08-24","CHA","LVA","Charlotte Sting","Utah Starzz",0,0,70,52,1,0,1502.4875605848606,1339.807166843753,0.8017043249292031,1509.887779888862,1332.4069475397516,""
1997,"1997-08-24","HOU","SAC","Houston Comets","Sacramento Monarchs",0,0,58,68,0,0,1630.9188273141442,1376.505990245523,0.8726988540807937,1593.4380568746712,1413.986760684996,""
1997,"1997-08-24","NYL","CLE","New York Liberty","Cleveland Rockers",0,0,79,72,1,0,1483.5031867586406,1563.1507193300886,0.5005072412302053,1494.3390668492627,1552.3148392394664,""
1997,"1997-08-24","PHO","LAS","Phoenix Mercury","Los Angeles Sparks",0,0,73,68,1,0,1553.2776895847448,1550.3488593382451,0.6171282345349779,1559.1483726622855,1544.4781762607045,""
1997,"1997-08-28","HOU","CHA","Houston Comets","Charlotte Sting",0,1,70,54,1,0,1593.4380568746712,1509.887779888862,0.7643789433420815,1601.6904540472642,1501.635382716269,""
1997,"1997-08-28","PHO","NYL","Phoenix Mercury","New York Liberty",0,1,41,59,0,0,1559.1483726622855,1494.3390668492627,0.739233162195195,1517.6290474367313,1535.858392074817,""
1997,"1997-08-30","HOU","NYL","Houston Comets","New York Liberty",0,1,65,51,1,0,1601.6904540472642,1535.858392074817,0.7406493006472546,1610.0040204516788,1527.5448256704024,"HOU"
1998,"1998-06-11","CHA","WAS","Charlotte Sting","Washington Mystics",0,0,83,57,1,0,1500.8176913581347,1300,0.8343141624865177,1508.8724848772808,1291.9452064808538,""
1998,"1998-06-11","CLE","NYL","Cleveland Rockers","New York Liberty",0,0,78,71,1,0,1526.1574196197332,1513.772412835201,0.629905364529992,1533.521913004272,1506.4079194506623,""
1998,"1998-06-11","SAC","PHO","Sacramento Monarchs","Phoenix Mercury",0,0,70,73,0,0,1456.9933803424979,1508.8145237183658,0.5404639485616886,1450.8693525592876,1514.938551501576,""
1998,"1998-06-11","LVA","LAS","Utah Starzz","Los Angeles Sparks",0,0,83,89,0,0,1416.203473769876,1522.2390881303522,0.46260171599551536,1407.5500384977736,1530.8925234024546,""
1998,"1998-06-13","DAL","CHA","Detroit Shock","Charlotte Sting",0,0,69,78,0,0,1300,1508.8724848772808,0.322599807312691,1292.400359232498,1516.4721256447829,""
1998,"1998-06-13","HOU","NYL","Houston Comets","New York Liberty",0,0,73,62,1,0,1555.0020102258395,1506.4079194506623,0.677049885909927,1563.9369122329272,1497.4730174435747,""
